x0-mean,x0-std,x0-10th,x0-25th,x0-50th,x0-75th,x0-90th,x0-iqr,x0-amp,x0-skew,x0-kurt,x0-rms,y0-mean,y0-std,y0-10th,y0-25th,y0-50th,y0-75th,y0-90th,y0-iqr,y0-amp,y0-skew,y0-kurt,y0-rms,z0-mean,z0-std,z0-10th,z0-25th,z0-50th,z0-75th,z0-90th,z0-iqr,z0-amp,z0-skew,z0-kurt,z0-rms,x1-mean,x1-std,x1-10th,x1-25th,x1-50th,x1-75th,x1-90th,x1-iqr,x1-amp,x1-skew,x1-kurt,x1-rms,y1-mean,y1-std,y1-10th,y1-25th,y1-50th,y1-75th,y1-90th,y1-iqr,y1-amp,y1-skew,y1-kurt,y1-rms,z1-mean,z1-std,z1-10th,z1-25th,z1-50th,z1-75th,z1-90th,z1-iqr,z1-amp,z1-skew,z1-kurt,z1-rms,x2-mean,x2-std,x2-10th,x2-25th,x2-50th,x2-75th,x2-90th,x2-iqr,x2-amp,x2-skew,x2-kurt,x2-rms,y2-mean,y2-std,y2-10th,y2-25th,y2-50th,y2-75th,y2-90th,y2-iqr,y2-amp,y2-skew,y2-kurt,y2-rms,z2-mean,z2-std,z2-10th,z2-25th,z2-50th,z2-75th,z2-90th,z2-iqr,z2-amp,z2-skew,z2-kurt,z2-rms,type
1.162025,3.762892,-2.079907,-0.52668,0.302336,1.857744,7.46928,2.384424,16.011072,0.155278,0.354319,3.877844,2.391173,4.127715,-0.168538,0.09576,0.842688,2.413152,5.27063,2.317392,17.887968,2.232756,4.557164,4.710394,8.132445,8.260697,0.072778,0.9576,3.868704,18.261432,19.53504,17.303832,20.569248,0.390668,-1.569908,11.493526,-5.258125,9.928261,-19.53504,-11.041128,-6.53504,1.608768,8.082144,12.649896,33.143808,0.11536,-0.896336,11.087496,-13.188381,9.717881,-19.53504,-19.53504,-19.305216,-6.322568,1.9152,13.212472,29.264256,1.095197,-0.505186,16.285659,-3.305082,2.473332,-5.17104,-5.17104,-4.634784,-2.51024,-1.095494,2.6608,8.120448,1.431219,1.181144,4.103294,-8.665505,10.3046,-19.53504,-17.313408,-11.452896,-4.558176,0.965261,12.755232,37.461312,1.058806,0.775906,13.331777,2.544566,9.361446,-7.41633,-5.707296,0.19152,8.101296,18.519638,13.808592,30.106944,0.483758,-0.923891,9.549359,-3.090129,5.928082,-11.184768,-7.938504,-2.96856,-0.153216,6.527002,7.785288,18.347616,0.289122,-0.920022,6.596943,run
0.712181,3.446319,-1.926547,-0.497952,0.28728,1.264032,4.765018,1.761984,17.42832,1.24901,3.017714,3.462428,1.403203,2.101713,-0.888653,0.09576,0.727776,2.433328,4.163645,2.337568,8.924832,1.147611,0.938912,2.497787,5.940301,7.364395,-0.559238,-0.019152,2.930256,10.265112,17.845955,10.284264,20.760768,0.823423,-0.89136,9.365558,-3.640028,5.993563,-7.737408,-5.420016,-5.017824,-4.385808,5.264054,1.034208,24.775712,0.713002,0.409356,6.926412,-0.084501,7.806128,-14.632128,-4.136832,4.290048,4.290048,6.247382,8.42688,26.468064,-1.159332,0.165722,7.675388,-2.176671,2.146427,-3.658032,-3.562272,-3.562272,-1.493856,1.24105,2.068416,6.588288,0.92271,-0.575942,3.031744,-11.230869,6.723581,-19.53504,-16.825032,-12.9276,-5.104008,-1.957334,11.721024,19.879776,0.240164,-1.422359,13.031964,6.642644,9.512286,-7.346707,-0.210672,6.549984,17.064432,19.53504,17.275104,29.551424,0.048408,-1.072761,11.471364,0.524805,7.654195,-8.116618,-3.198384,-1.00072,4.97952,7.794864,8.177904,32.6856,0.660131,0.638628,7.54382,run
1.34488,2.409875,-0.57839,-0.153216,0.746928,1.647072,5.480582,1.800288,9.00144,1.092634,0.271294,2.724448,1.516244,1.960137,-0.375379,0.258552,1.417248,2.109792,3.90289,1.85124,8.6184,0.656673,0.462813,2.452154,6.883317,7.466893,-0.199181,0.363584,2.183328,11.166224,19.53504,10.80264,20.30112,0.56321,-1.177037,10.063601,-4.737386,8.463917,-14.779421,-11.402968,-4.902912,1.72368,6.090336,13.126648,27.119232,0.211024,-1.30126,9.575635,-8.36121,11.474166,-19.53504,-19.53504,-9.67176,2.566368,9.997344,22.101408,29.532384,0.38296,-1.420652,14.042,-0.585143,3.290417,-4.247914,-3.523968,-1.417248,2.451456,3.382243,5.975424,10.380384,0.064927,-1.406346,3.287605,-9.170708,6.893426,-15.382886,-13.514808,-9.652608,-5.755176,-2.221632,7.759632,36.618624,1.71471,5.141928,11.403387,6.346146,7.090588,-2.922595,2.164176,5.209344,9.361176,19.53504,7.197,23.442048,0.589282,-0.369477,9.427308,-4.786989,8.270259,-14.496192,-10.993248,-4.02192,-0.995904,1.62792,9.997344,33.401088,0.225319,0.266206,9.435705,run
2.266368,2.328878,0.218333,0.928872,1.645024,2.72916,6.887059,1.800288,8.120448,1.235149,0.607866,3.221694,0.663615,1.672574,-1.432138,-0.038304,0.229824,1.790712,3.324355,1.829016,6.358464,0.288811,-0.569872,1.773313,4.982074,6.912089,-0.85801,-0.689472,3.44736,10.24632,17.259782,10.935792,21.0672,1.016196,-0.259147,8.426474,-3.265789,9.195456,-13.4064,-9.834552,-5.7032,4.831008,11.46496,14.66556,31.866048,0.196169,-0.895771,9.61266,-10.438475,10.359727,-19.53504,-19.53504,-12.793536,-4.673088,5.017824,14.861952,30.547328,0.688179,-0.869977,14.58452,-0.564803,2.595893,-2.497421,-2.374848,-1.225728,0.161408,2.455286,2.536256,13.368096,1.783376,4.863041,2.614008,-8.775269,6.721084,-19.142179,-14.262456,-9.76752,-2.997288,-1.045699,11.265168,21.411936,-0.143248,-1.200964,10.985106,3.51458,10.981568,-9.476064,-6.166944,3.792096,14.93568,19.466093,21.102624,30.26016,0.259897,-1.512342,11.354615,0.455578,7.062339,-7.327555,-5.850936,-0.805104,9.260656,9.869834,15.111592,21.028896,0.253056,-1.326234,6.958565,run
2.028289,3.547411,-0.828086,0.447,1.072512,3.026016,6.779808,2.579016,17.390016,0.778508,1.309003,4.034676,1.163028,2.48112,-2.309731,-0.440496,0.621776,3.437784,4.101782,3.87828,8.503488,0.19957,-1.032215,2.702479,9.177406,8.290311,-0.19535,1.350216,6.473376,19.420128,19.53504,18.069912,20.607552,0.190622,-1.66584,12.274488,-5.040485,8.947752,-12.793536,-11.733312,-8.120448,4.270896,7.653139,16.004208,29.526848,0.588368,-1.014419,10.139034,-5.525116,11.44276,-19.53504,-16.99416,-5.668992,7.545888,9.652608,24.540048,29.187648,0.139509,-1.54472,12.533918,-0.965622,3.458438,-5.284579,-4.242168,-0.210672,1.225728,3.44736,5.467896,10.954944,-0.000018,-1.158187,3.53476,-9.030983,8.96401,-16.930368,-14.53288,-12.06576,-7.316064,-2.938925,7.216816,37.604672,1.700643,2.552469,12.618783,4.536334,8.964452,-5.611536,-4.394304,6.306432,10.299984,17.620358,14.694288,29.530944,0.172381,-1.096392,9.91267,0.090066,10.628486,-11.927866,-6.885144,0.123104,4.424112,17.313408,11.309256,37.526848,0.245646,-0.550468,10.450232,run
0.812454,2.177112,-1.034208,-0.124488,0.134064,1.809864,3.623558,1.934352,11.069856,1.86405,4.682155,2.289521,1.294402,2.203945,-1.302746,0.054384,0.825584,2.47368,4.320691,2.419296,9.576,0.887362,0.598264,2.524072,10.389362,8.12938,0.237485,2.499336,9.212112,19.458432,19.53504,16.959096,19.715488,-0.036713,-1.744348,13.108119,4.674365,9.63848,-11.847427,7.775712,9.805824,9.805824,10.303776,2.030112,30.873024,-1.417271,0.342536,10.566613,-10.401994,6.712303,-19.53504,-19.53504,-6.51168,-6.51168,-4.803322,13.02336,18,-0.571911,-1.450003,12.318874,-1.420429,3.677562,-5.826304,-3.102624,0.604672,0.604672,1.739002,3.707296,12.793536,-1.368775,0.79162,3.884748,-9.972395,4.706333,-17.340221,-13.6458,-8.388576,-7.306488,-4.87993,6.339312,17.543232,-0.536427,-0.535377,10.99363,-0.958925,7.482325,-10.556582,-5.898816,-0.497952,4.624848,6.595949,10.523664,31.830624,0.368292,0.089223,7.418797,-3.333902,5.872096,-8.549453,-7.743192,-3.274992,0.306432,2.796192,8.049624,27.923616,-0.126324,0.637403,6.666861,run
0.26115,1.757437,-1.018886,-0.804384,-0.153216,0.76608,3.278822,1.570464,7.430976,0.751752,0.272294,1.747522,0.785963,2.389796,-1.15295,-0.938448,-0.008192,1.987712,4.110019,2.92616,10.303776,1.546128,2.188654,2.477598,7.31237,7.172931,0.161309,0.98096,3.792096,13.576968,19.249286,12.596008,20.380384,0.619914,-1.117858,10.159068,-5.575963,9.154958,-15.474816,-12.59244,-8.656704,0.10672,9.430445,12.69916,29.034432,0.788572,-0.628926,10.588241,-4.267162,9.813612,-16.355808,-14.85852,-3.316064,4.711392,4.711392,19.569912,35.124768,-0.008551,-1.354302,10.550138,-1.939267,3.065853,-3.50041,-3.463744,-1.264032,0.14364,0.999734,3.607384,17,-2.418839,8.694841,3.584256,-8.094864,8.095286,-16.228995,-12.812688,-8.850272,-6.502104,2.080605,6.310584,39.07008,1.410793,2.800178,11.352357,4.045127,9.350324,-9.350006,-3.581424,4.63816,8.264088,19.53504,11.845512,30.949632,0.140001,-0.75018,10.043771,-0.957463,5.350297,-7.794864,-4.816728,-1.742832,2.470608,7.522906,7.287336,20.607552,0.29841,-0.534324,5.346796,run
1.809868,2.657354,0.114912,0.114912,0.4788,2.470608,6.722352,2.355696,8.158752,1.462896,0.587863,3.178327,0.15112,2.005738,-1.493856,-1.493856,-0.19152,1.447,3.527798,2.940856,6.7032,0.749406,-0.803137,1.977808,13.219681,8.606568,-0.306432,2.938144,19.53504,19.53504,19.53504,16.596896,20.454336,-0.764304,-1.240412,15.695983,-2.984516,6.821338,-6.435072,-6.435072,-6.435072,-4.248672,9.18913,2.1864,22.867488,1.570294,0.98315,7.340775,-3.694007,7.030303,-14.785344,-3.792096,-1.264032,-1.264032,-1.264032,2.528064,29.800512,-0.65739,0.60681,7.837305,-0.684413,1.223665,-1.765814,-0.459648,-0.459648,-0.459648,-0.305203,0,6.358464,-0.966078,3.036308,1.384148,-7.999385,8.152814,-19.53504,-12.257944,-5.577328,-3.819912,-2.635171,8.438032,39.07008,0.804574,2.547334,11.324439,6.457331,8.502121,-4.543229,0.054384,4.188144,13.818168,19.53504,13.763784,26.008416,0.432825,-0.994554,10.562843,-0.788974,5.04367,-7.372656,-3.370752,-1.283184,1.272528,8.005536,4.64328,17.083584,0.566244,-0.434684,5.021268,run
4.651109,5.593539,-1.122307,0.076608,3.102624,10.91664,10.91664,10.840032,17.390016,-0.034517,-1.545941,7.202609,2.290716,2.007748,-0.459648,0.776016,2.355696,3.868704,4.027389,3.092688,7.699104,-0.173744,-1.04912,3.023915,13.080905,8.407266,0.114912,5.352984,19.53504,19.53504,19.53504,14.182056,20.645856,-0.66634,-1.369551,15.473723,-2.722049,8.870995,-12.793536,-12.372192,-0.593712,5.36256,6.168173,17.734752,25.740288,-0.275425,-1.522838,9.136791,-8.514064,9.421539,-19.53504,-18.156096,-6.013728,-4.864608,8.80992,13.291488,28.34496,0.413182,-0.782245,12.581568,1.897325,3.240314,-3.470342,-0.105336,3.44736,4.59648,4.864608,4.701816,10.72512,-0.562112,-0.76127,3.70803,-12.692757,5.44938,-19.458432,-18.807264,-12.06576,-7.354368,-4.941216,11.452896,15.507584,-0.010813,-1.412106,13.777227,0.633533,7.627889,-5.826038,-4.588952,-3.983616,7.08624,13.02336,11.675192,25.870144,0.657193,-1.012158,7.526391,-4.526795,7.968666,-11.479709,-10.801728,-5.36256,0.885088,5.419008,11.686816,35.611648,0.468795,0.462565,9.048472,run
2.022451,2.596524,0.225994,0.804384,1.321488,2.773608,3.769114,1.969224,15.091776,1.96661,6.104417,3.256918,-0.149659,2.237639,-2.416982,-1.561912,-0.402192,1.460672,2.757888,3.022584,8.80992,0.158283,-0.449139,2.205113,7.802204,8.438612,-0.019152,0.229824,4.132016,17.76348,19.53504,17.533656,20.952288,0.384302,-1.601895,11.389068,-3.864914,9.520922,-11.778458,-11.090032,-7.902192,6.79896,10.840032,17.888992,29.647296,0.653477,-1.144366,10.127385,-2.567412,9.581568,-17.466624,-8.739456,-3.335824,7.545888,9.652608,16.285344,29.187648,-0.261278,-1.05759,9.764109,-1.383409,3.695246,-5.284579,-4.864608,-0.995904,0.28728,3.409056,5.151888,12.525408,0.500856,-0.669582,3.887609,-10.426157,9.351987,-17.125718,-15.474816,-12.487104,-11.376288,-1.482365,4.098528,37.604672,1.904875,2.776648,13.901406,5.229854,9.220315,-5.688144,-4.175136,5.09648,9.794448,19.53504,13.969584,26.543232,0.257656,-1.195585,10.465743,2.10672,9.110429,-6.32016,-6.052032,-0.114912,6.205248,17.313408,12.25728,30.83472,0.627478,-0.680943,9.201713,run
